what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1668694520021
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1668694520099
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1668694520099
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1668694520099
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1668694520099
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1668694520099
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1668694520099
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1668694520099
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1668694520099
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1668694520099
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1668694520099
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1668694520099
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1668694520099
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1668694520099
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1668694520099
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1668694520099
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1668694520114
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1668694520114
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1668694520114
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1668694520114
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1668694520114
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1668694520114
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1668694520114
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1668694520114
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1668694520114
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1668694520114
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1668694520114
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1668694520114
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1668694520114
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1668694520114
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1668694520114
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1668694520114
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1668694520114
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1668694520114
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1668694520114
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1668694520114
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1668694520114
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1668694520114
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1668694520114
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1668694520130
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1668694520130
started,bundle,com.altera.sbtgui.integration,13.1.0.162,"com.altera.sbtgui.integration",1668694520130
started,bundle,com.altera.sbtgui.project,13.1.0.162,"com.altera.sbtgui.project",1668694520130
started,bundle,com.altera.systemconsole,13.1.0.162,"com.altera.systemconsole",1668694520130
started,bundle,com.altera.systemconsole.designs.plugin,13.1.0.162,"com.altera.systemconsole.designs.plugin",1668694520130
started,bundle,com.altera.utilities,13.1.0.162,"com.altera.utilities",1668694520130
os,sysinfo,,,"win32",1668694520130
arch,sysinfo,,,"x86",1668694520130
ws,sysinfo,,,"win32",1668694520130
locale,sysinfo,,,"fr_FR",1668694520130
processors,sysinfo,,,"12",1668694520130
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1668694520130
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1668694520130
java.specification.name,sysinfo,,,"Java Platform API Specification",1668694520130
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1668694520130
java.specification.version,sysinfo,,,"1.6",1668694520130
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1668694520130
java.version,sysinfo,,,"1.6.0_23",1668694520130
java.vm.info,sysinfo,,,"mixed mode",1668694520130
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1668694520130
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1668694520130
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1668694520130
java.vm.specification.version,sysinfo,,,"1.0",1668694520130
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1668694520130
java.vm.version,sysinfo,,,"19.0-b09",1668694520130
started,bundle,com.altera.sbtgui.launch,13.1.0.162,"com.altera.sbtgui.launch",1668694520868
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1668694522638
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668694557704
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668694868258
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668694938405
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668695065818
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.buildAll",1668695461660
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668695462143
started,bundle,com.altera.sbtgui.core,13.1.0.162,"com.altera.sbtgui.core",1668695465329
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668695466325
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1668695475996
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1668695489389
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1668695491149
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1668695491191
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1668695491192
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668695493537
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668695495012
executed,command,,,"com.altera.sbtgui.launch.modelsim.Nios2ModelsimLaunchShortcut.run",1668695495766
started,bundle,org.eclipse.cdt.launch,7.0.0.201202111925,"org.eclipse.cdt.launch",1668695495778
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1668695497196
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1668695497198
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1668695497199
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668695499274
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668695499302
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668695504726
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668695686335
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1668695686929
